	symbols	parent
Wireline Non-US	CHA,MYTAY,MTENY,SPKKY,TLTZY,TEO	Utilities
Wireline - National	TDS	Utilities
Wireless Non-US	AVIFY,AMX,BB,CEL,CRNT,CHL,CHU,CHRYY,FXCNY,IRIDQ,KDDIY,KT,TIGO,MBT,MTNOY,DCMYY,ORAN,PTNR,PHI,RNET,SKM,SFTBY,FMHS,TIAIY,TLSNY,TIMB,TOWTF,TKC,VOD	Computer and Technology
Wireless National	ABWN,ATNI,CMBM,LUMN,CCOI,GLIBA,GOGO,LILAK,LILA,MFON,OTEL,PRXM,SITOQ,SYTA,SPOK,TNAV,TLLEQ,TMUS,UATG,USM,VZ,WINMQ,PEGX	Computer and Technology
Wireless Equipment	AIRO,ARCW,AVNW,BKTI,CNTFY,CNCT,CLFD,CMTL,ERIC,HTCXF,IDCC,JNPR,MSI,NOK,PCTI,QCOM,SCIXF,SWIR,SONM,WISA,UI,VSAT,WTRO,ZTCOY	Computer and Technology
Wireless - Regional - Rural	ALSK,CNSL,FTRCQ	Utilities
Wire and Cable Products	APWC,ATKR,BDC,DFTS,WIRE,HWCC,IIIN,RITT	Industrial Products
Waste Removal Services	ADSW,AQMS,BHTG,CHFFF,CREG,CLH,BBCP,GFL,GLYE,MEG,NWMH,NEWA,NVIC,PTOI,QRHC,RSG,RINO,SMSMY,SRCL,SENR,SUNC,TOMZ,TBLZ,TGGI,ECOL,WCN,WM	Business Services
Utility - Water Supply	AWR,AWK,ARTNA,CWT,SBS,CWCO,WTRG,GWRS,MSEX,PRMW,PCYO,SJW,YORW,TURV,VEOEY	Utilities
Utility - Gas Distribution	ATO,CPYYY,CPK,CLNE,CNIG,ENGGY,XNGSY,HOKCY,JE,MDU,NFG,NJR,NWN,OGS,OKE,SRE,SJI,SWX,SR,UGI,VCOGF	Utilities
